Time/Residue,AFR5_R1.xvg,rmsd_ligand_md_A4482_R2.xvg
4.3200002,0.3993946,0.1610447
4.3300004,0.3820556,0.1732107
4.3400002,0.3990913,0.1648885
4.3500004,0.3818314,0.1573385
4.3600001,0.4043175,0.1486604
4.3700004,0.3684551,0.154084
4.3800001,0.3821988,0.1630979
4.3900003,0.3944242,0.1682368
4.4000001,0.3751279,0.1618672
4.4100003,0.3856525,0.1554506
4.4200001,0.3981743,0.1579105
4.4300003,0.3781818,0.1589289
4.4400001,0.3946899,0.1609322
4.4500003,0.3854512,0.1619652
4.46,0.3894043,0.1601143
4.4700003,0.4032188,0.1572342
4.48,0.3787895,0.1630612
4.4900002,0.3837978,0.1659686
4.5,0.4084686,0.1615841
4.5100002,0.3803999,0.1650624
4.52,0.4167858,0.1497638
4.5300002,0.4177432,0.1512219
4.5400004,0.3927766,0.1659598
4.5500002,0.3752433,0.1666902
4.5600004,0.3984213,0.1503529
4.5700002,0.3521928,0.1396404
4.5800004,0.3721222,0.1601359
4.5900002,0.3718004,0.1604132
4.6000004,0.3680409,0.1613231
4.6100001,0.3738973,0.144319
4.6200004,0.4094965,0.1472533
4.6300001,0.3875459,0.1580794
4.6400003,0.3829445,0.1557759
4.6500001,0.3812498,0.1626482
4.6600003,0.3825155,0.166297
4.6700001,0.4046565,0.1548968
4.6800003,0.4177792,0.1592772
4.6900001,0.376317,0.1591691
4.7000003,0.3567636,0.1634813
4.71,0.3965288,0.1579066
4.7200003,0.401766,0.1534719
4.73,0.3862781,0.1637772
4.7400002,0.3757696,0.1636971
4.75,0.3935913,0.1646235
4.7600002,0.3759293,0.1554713
4.7700005,0.3777835,0.1633297
4.7800002,0.3963333,0.1625348
4.7900004,0.3834535,0.158903
4.8000002,0.3837018,0.1653897
4.8100004,0.3821281,0.1604962
4.8200002,0.3729109,0.1691289
4.8300004,0.3938296,0.162594
4.8400002,0.3985274,0.1491955
4.8500004,0.3892919,0.1634422
4.8600001,0.3847044,0.1513747
4.8700004,0.3842296,0.1573116
4.8800001,0.4014065,0.1636901
4.8900003,0.3814455,0.1748592
4.9000001,0.4007535,0.1700918
4.9100003,0.3871132,0.153769
4.9200001,0.3953586,0.157602
4.9300003,0.367979,0.1515764
4.9400001,0.391761,0.1614022
4.9500003,0.3984897,0.1666887
4.96,0.3836227,0.1667158
4.9700003,0.3954623,0.1586373
4.98,0.3862577,0.167464
4.9900002,0.3963517,0.1600248
5.0,0.4002311,0.1576786
5.0100002,0.4199173,0.1598009
5.0200005,0.3988318,0.1535983
5.0300002,0.3844245,0.1464266
5.0400004,0.3593559,0.1573131
5.0500002,0.4000295,0.1545583
5.0600004,0.4297349,0.151496
5.0700002,0.4127519,0.1611332
5.0800004,0.3891182,0.1563448
5.0900002,0.4342198,0.1606324
5.1000004,0.4143868,0.1605512
5.1100001,0.4094482,0.1671539
5.1200004,0.4168943,0.1605367
5.1300001,0.4301875,0.1666007
5.1400003,0.3994543,0.1672136
5.1500001,0.4025527,0.1623591
5.1600003,0.4002105,0.1622826
5.1700001,0.4224703,0.155387
5.1800003,0.4141316,0.1536575
5.1900001,0.4000328,0.1639677
5.2000003,0.4132263,0.1532911
5.21,0.3765086,0.1621993
5.2200003,0.4030656,0.1639353
5.23,0.4126776,0.1742617
5.2400002,0.3835922,0.1669508
5.2500005,0.3843649,0.165395
5.2600002,0.4142393,0.1748406
5.2700005,0.4174965,0.1538514
5.2800002,0.4055089,0.1574826
5.2900004,0.3754998,0.1583284
5.3000002,0.4128421,0.1538274
5.3100004,0.3924103,0.1678947
5.3200002,0.3886671,0.1739408
5.3300004,0.3937562,0.1597989
5.3400002,0.4150416,0.1771211
5.3500004,0.3940745,0.1660533
5.3600001,0.3763245,0.1733286
5.3700004,0.3827521,0.1686051
5.3800001,0.3734211,0.1618105
5.3900003,0.3738016,0.1708807
5.4000001,0.3603013,0.1670519
5.4100003,0.3899063,0.160176
5.4200001,0.3737825,0.1800932
5.4300003,0.3964599,0.1749386
5.4400001,0.3868475,0.1706827
5.4500003,0.39822,0.1635289
5.46,0.4263606,0.1659404
5.4700003,0.4230418,0.1670038
5.4800005,0.3760946,0.1660853
5.4900002,0.3965862,0.1656352
5.5000005,0.4029368,0.1536615
5.5100002,0.39122,0.1724884
5.5200005,0.3932237,0.1597693
5.5300002,0.3718181,0.1557783
5.5400004,0.3964412,0.155563
5.5500002,0.3646945,0.1577789
5.5600004,0.3780192,0.1549938
5.5700002,0.3921334,0.157442
5.5800004,0.3838165,0.1640631
5.5900002,0.3829397,0.1626715
5.6000004,0.4066696,0.1704914
5.6100001,0.4110363,0.1557247
5.6200004,0.4087115,0.1666488
5.6300001,0.3907526,0.1613628
5.6400003,0.4072766,0.1632036
5.6500001,0.4074386,0.1630247
5.6600003,0.4005486,0.1602059
5.6700001,0.4150607,0.1654423
5.6800003,0.4073124,0.154122
5.6900001,0.4060369,0.1538912
5.7000003,0.4128303,0.1627902
5.71,0.4206152,0.1705251
5.7200003,0.3955969,0.1673649
5.7300005,0.3929757,0.1531995
5.7400002,0.3979791,0.158042
5.7500005,0.3837539,0.1617967
5.7600002,0.3806133,0.1537696
5.7700005,0.3924135,0.1597151
5.7800002,0.4100285,0.152911
5.7900004,0.3991541,0.1561838
5.8000002,0.3812703,0.1579433
5.8100004,0.3853398,0.1564177
5.8200002,0.4045223,0.1621021
5.8300004,0.3878949,0.1691697
5.8400002,0.4132153,0.1620369
5.8500004,0.397896,0.1627461
5.8600001,0.3837849,0.1666867
5.8700004,0.3940747,0.158803
5.8800001,0.3836749,0.1577477
5.8900003,0.4104604,0.1461888
5.9000001,0.3950513,0.1419812
5.9100003,0.381587,0.1424025
5.9200001,0.3843341,0.1509739
5.9300003,0.4016685,0.1387057
5.9400001,0.4074872,0.146248
5.9500003,0.3803339,0.1431388
5.9600005,0.3919632,0.1663209
5.9700003,0.4155014,0.1426179
5.9800005,0.3873436,0.1563715
5.9900002,0.3695157,0.1577309
6.0000005,0.4078733,0.1640175
6.0100002,0.4003855,0.1499337
6.0200005,0.3853154,0.1620769
6.0300002,0.409769,0.1619612
6.0400004,0.3997384,0.157009
6.0500002,0.3835678,0.1658964
6.0600004,0.3727936,0.1552846
6.0700002,0.3611421,0.1656013
6.0800004,0.3821142,0.1666222
6.0900002,0.3903821,0.1592603
6.1000004,0.3827503,0.1548116
6.1100001,0.3696734,0.1701791
6.1200004,0.3967091,0.1585852
6.1300001,0.4209525,0.1515599
6.1400003,0.4255301,0.1614878
6.1500001,0.4081125,0.1562347
6.1600003,0.3924908,0.1536542
6.1700001,0.3732433,0.146059
6.1800003,0.3876523,0.1646936
6.1900001,0.4032936,0.1589529
6.2000003,0.3948942,0.1519304
6.2100005,0.3862243,0.1668295
6.2200003,0.4092522,0.1546843
6.2300005,0.3985557,0.1794287
6.2400002,0.3999638,0.1607883
6.2500005,0.4009628,0.1574851
6.2600002,0.4022984,0.1560679
6.2700005,0.4305076,0.1637828
6.2800002,0.4513787,0.1594848
6.2900004,0.394484,0.1561631
6.3000002,0.4182226,0.1579654
6.3100004,0.4213059,0.1664207
6.3200002,0.3877251,0.1606793
6.3300004,0.430049,0.1498834
6.3400002,0.4196182,0.1641037
6.3500004,0.3854723,0.1636106
6.3600001,0.421222,0.156941
6.3700004,0.4297911,0.1699628
6.3800001,0.3863522,0.1662308
6.3900003,0.3890034,0.1615277
6.4000001,0.4013529,0.1604876
6.4100003,0.3635369,0.1578461
6.4200001,0.3677438,0.1589388
6.4300003,0.3930396,0.167616
6.4400005,0.4162552,0.1761267
6.4500003,0.4026142,0.1558584
6.4600005,0.362372,0.1530424
6.4700003,0.4149401,0.1648519
6.4800005,0.3987023,0.1651696
6.4900002,0.4061116,0.1620699
6.5000005,0.4025283,0.1606631
6.5100002,0.4038214,0.1758196
6.5200005,0.3842508,0.1516323
6.5300002,0.4000512,0.1510179
6.5400004,0.4094403,0.1713491
6.5500002,0.4073757,0.1633627
6.5600004,0.396203,0.1671961
6.5700002,0.4005484,0.1693214
6.5800004,0.3927851,0.1592444
6.5900002,0.4089934,0.1617228
6.6000004,0.4047818,0.1667428
6.6100001,0.4288622,0.1573672
6.6200004,0.3837754,0.161166
6.6300001,0.3838842,0.1583521
6.6400003,0.3936306,0.1633214
6.6500001,0.3978716,0.1650988
6.6600003,0.4202456,0.1644633
6.6700006,0.4053039,0.165691
6.6800003,0.3863766,0.1684321
6.6900005,0.4255272,0.1706804
6.7000003,0.4153014,0.1630211
6.7100005,0.3977526,0.1618791
6.7200003,0.39731,0.1535042
6.7300005,0.4170383,0.1651408
6.7400002,0.4345562,0.1496649
6.7500005,0.4010975,0.1695405
6.7600002,0.3858289,0.1658836
6.7700005,0.4042348,0.1732802
6.7800002,0.4151474,0.1808261
6.7900004,0.4309953,0.1628642
6.8000002,0.3881636,0.1442818
6.8100004,0.4069471,0.148159
6.8200002,0.3756788,0.1260098
6.8300004,0.3579883,0.1398436
6.8400002,0.3949295,0.1530571
6.8500004,0.4607158,0.1619226
6.8600001,0.3933037,0.1484816
6.8700004,0.4127322,0.1175264
6.8800001,0.4018855,0.1543557
6.8900003,0.3860957,0.1470368
6.9000001,0.3639668,0.1470961
6.9100003,0.3932664,0.1658879
6.9200006,0.4087239,0.1606888
6.9300003,0.3904306,0.1659789
6.9400005,0.3689232,0.1583374
6.9500003,0.4175999,0.153213
6.9600005,0.3669274,0.1617409
6.9700003,0.3852034,0.1480485
6.9800005,0.3722605,0.1744659
6.9900002,0.4044191,0.1600373
7.0000005,0.4273954,0.1608682
7.0100002,0.4154015,0.148091
7.0200005,0.4154179,0.1528011
7.0300002,0.3769518,0.1545822
7.0400004,0.3999156,0.1504305
7.0500002,0.3860776,0.1714847
7.0600004,0.3824729,0.1675307
7.0700002,0.4106134,0.166609
7.0800004,0.4225088,0.1682854
7.0900002,0.3695628,0.1522323
7.1000004,0.3957525,0.1532382
7.1100001,0.3752112,0.1631037
7.1200004,0.3907169,0.1543238
7.1300001,0.3993713,0.1597791
7.1400003,0.3994088,0.1648817
7.1500006,0.4227958,0.1616727
7.1600003,0.4113626,0.1610489
7.1700006,0.4082591,0.1490004
7.1800003,0.4104867,0.1766189
7.1900005,0.3884195,0.1583262
7.2000003,0.3689296,0.1507861
7.2100005,0.4094978,0.1627928
7.2200003,0.4316503,0.1589217
7.2300005,0.3948285,0.1596222
7.2400002,0.4046328,0.1714783
7.2500005,0.3924927,0.1706727
7.2600002,0.38378,0.163141
7.2700005,0.3773647,0.1561824
7.2800002,0.3991556,0.1568204
7.2900004,0.4133478,0.1563153
7.3000002,0.3844955,0.1683762
7.3100004,0.3941095,0.1487307
7.3200002,0.4017834,0.1639536
7.3300004,0.3964428,0.1674692
7.3400002,0.3798693,0.165328
7.3500004,0.3902364,0.1565529
7.3600001,0.4041767,0.1607863
7.3700004,0.3945945,0.1492225
7.3800001,0.3901141,0.1598342
7.3900003,0.3817271,0.1487132
7.4000006,0.3734664,0.1589384
7.4100003,0.3802886,0.1506556
7.4200006,0.3970678,0.1521646
7.4300003,0.397291,0.1552117
7.4400005,0.3789268,0.1679246
7.4500003,0.3901064,0.1573452
7.4600005,0.3835374,0.1608351
7.4700003,0.3901847,0.1567654
7.4800005,0.3740626,0.1552642
7.4900002,0.3620932,0.1569981
7.5000005,0.372357,0.1606365
7.5100002,0.3862867,0.1596712
7.5200005,0.3762378,0.1530122
7.5300002,0.3868079,0.1606088
7.5400004,0.3778572,0.1584928
7.5500002,0.3798873,0.1532187
7.5600004,0.3888282,0.170643
7.5700002,0.371749,0.1626416
7.5800004,0.3887489,0.1693126
7.5900002,0.4078986,0.1715145
7.6000004,0.3979407,0.1622013
7.6100001,0.4160773,0.1698196
7.6200004,0.3958457,0.1665776
7.6300006,0.393515,0.1584032
7.6400003,0.3819079,0.1611839
7.6500006,0.3930014,0.1725603
7.6600003,0.4193898,0.1720081
7.6700006,0.4019283,0.16853
7.6800003,0.3956468,0.1559822
7.6900005,0.4280463,0.1832377
7.7000003,0.4152717,0.1666615
7.7100005,0.4044722,0.162172
7.7200003,0.4202083,0.1531826
7.7300005,0.4266316,0.1492699
7.7400002,0.4189609,0.1582115
7.7500005,0.4378953,0.1593174
7.7600002,0.4500273,0.1518352
7.7700005,0.412908,0.1421207
7.7800002,0.3842337,0.1403726
7.7900004,0.3631436,0.130202
7.8000002,0.3748078,0.1350735
7.8100004,0.4351364,0.1337436
7.8200002,0.3893713,0.1381065
7.8300004,0.3763536,0.1421129
7.8400002,0.3887701,0.1423153
7.8500004,0.3959273,0.1358274
7.8600006,0.3985273,0.1329307
7.8700004,0.4151993,0.1491037
7.8800006,0.4017438,0.1446984
7.8900003,0.3851478,0.1363958
7.9000006,0.4085239,0.1695566
7.9100003,0.3655006,0.1645813
7.9200006,0.4091665,0.1431475
7.9300003,0.3925411,0.1483274
