Time/Residue,AFR2_R1.xvg,AFR2_R2.xvg
5.58e-06,6.0,1.0
5.59e-06,6.0,3.0
5.6e-06,5.0,2.0
5.6100000000000005e-06,6.0,2.0
5.62e-06,7.0,2.0
5.6299999999999995e-06,6.0,2.0
5.64e-06,6.0,2.0
5.65e-06,6.0,1.0
5.66e-06,6.0,2.0
5.67e-06,6.0,2.0
5.679999999999999e-06,5.0,2.0
5.690000000000001e-06,6.0,2.0
5.7000000000000005e-06,5.0,2.0
5.7099999999999995e-06,5.0,2.0
5.7199999999999994e-06,5.0,2.0
5.730000000000001e-06,6.0,1.0
5.74e-06,7.0,1.0
5.75e-06,6.0,1.0
5.76e-06,5.0,1.0
5.77e-06,6.0,1.0
5.7800000000000006e-06,6.0,1.0
5.79e-06,5.0,0.0
5.7999999999999995e-06,6.0,1.0
5.8099999999999994e-06,5.0,0.0
5.82e-06,7.0,2.0
5.83e-06,6.0,1.0
5.84e-06,6.0,1.0
5.849999999999999e-06,5.0,1.0
5.860000000000001e-06,6.0,1.0
5.8700000000000005e-06,6.0,1.0
5.88e-06,6.0,1.0
5.8899999999999995e-06,5.0,1.0
5.900000000000001e-06,6.0,1.0
5.91e-06,5.0,1.0
5.92e-06,7.0,1.0
5.929999999999999e-06,5.0,1.0
5.94e-06,4.0,0.0
5.950000000000001e-06,5.0,1.0
5.96e-06,4.0,1.0
5.97e-06,5.0,1.0
5.98e-06,4.0,1.0
5.99e-06,6.0,1.0
6e-06,6.0,1.0
6.01e-06,5.0,1.0
6.019999999999999e-06,5.0,1.0
6.030000000000001e-06,5.0,1.0
6.040000000000001e-06,7.0,1.0
6.05e-06,6.0,0.0
6.06e-06,6.0,1.0
6.0699999999999995e-06,6.0,1.0
6.08e-06,6.0,1.0
6.09e-06,7.0,1.0
6.099999999999999e-06,6.0,1.0
6.11e-06,7.0,1.0
6.120000000000001e-06,6.0,1.0
6.13e-06,6.0,1.0
6.14e-06,7.0,1.0
6.15e-06,5.0,1.0
6.16e-06,6.0,0.0
6.17e-06,6.0,1.0
6.18e-06,6.0,1.0
6.19e-06,7.0,1.0
6.2e-06,6.0,0.0
6.21e-06,6.0,1.0
6.22e-06,6.0,1.0
6.2300000000000005e-06,6.0,1.0
6.2399999999999995e-06,6.0,1.0
6.25e-06,5.0,1.0
6.26e-06,7.0,1.0
6.269999999999999e-06,5.0,1.0
6.28e-06,5.0,1.0
6.290000000000001e-06,5.0,0.0
6.3e-06,6.0,1.0
6.31e-06,5.0,1.0
6.3200000000000005e-06,3.0,1.0
6.3299999999999995e-06,7.0,1.0
6.34e-06,4.0,1.0
6.349999999999999e-06,6.0,1.0
6.36e-06,6.0,1.0
6.37e-06,6.0,1.0
6.38e-06,4.0,1.0
6.39e-06,6.0,2.0
6.4000000000000006e-06,5.0,1.0
6.41e-06,5.0,1.0
6.42e-06,4.0,1.0
6.43e-06,5.0,0.0
6.44e-06,6.0,1.0
6.45e-06,7.0,1.0
6.46e-06,7.0,1.0
6.47e-06,7.0,1.0
6.480000000000001e-06,6.0,2.0
6.49e-06,6.0,1.0
6.5e-06,5.0,1.0
6.51e-06,6.0,1.0
6.519999999999999e-06,6.0,1.0
6.53e-06,6.0,1.0
6.54e-06,6.0,1.0
6.549999999999999e-06,5.0,1.0
6.56e-06,5.0,1.0
6.570000000000001e-06,7.0,1.0
6.58e-06,5.0,1.0
6.59e-06,5.0,0.0
6.6e-06,5.0,1.0
6.61e-06,7.0,1.0
6.62e-06,6.0,1.0
6.629999999999999e-06,6.0,1.0
6.64e-06,5.0,1.0
6.650000000000001e-06,7.0,1.0
6.66e-06,6.0,1.0
6.67e-06,6.0,1.0
6.6799999999999996e-06,6.0,1.0
6.69e-06,7.0,1.0
6.7e-06,6.0,1.0
6.71e-06,7.0,2.0
6.719999999999999e-06,6.0,2.0
6.730000000000001e-06,5.0,2.0
6.740000000000001e-06,6.0,2.0
6.75e-06,6.0,1.0
6.76e-06,5.0,1.0
6.7699999999999996e-06,5.0,1.0
6.78e-06,6.0,1.0
6.79e-06,5.0,0.0
6.799999999999999e-06,6.0,2.0
6.809999999999999e-06,5.0,2.0
6.820000000000001e-06,4.0,1.0
6.83e-06,5.0,1.0
6.84e-06,6.0,1.0
6.85e-06,5.0,1.0
6.86e-06,5.0,2.0
6.87e-06,6.0,1.0
6.88e-06,6.0,1.0
6.889999999999999e-06,7.0,1.0
6.900000000000001e-06,6.0,2.0
6.910000000000001e-06,5.0,1.0
6.92e-06,6.0,1.0
6.93e-06,7.0,1.0
6.94e-06,5.0,2.0
6.95e-06,6.0,2.0
6.96e-06,5.0,1.0
6.969999999999999e-06,6.0,1.0
6.98e-06,5.0,1.0
6.990000000000001e-06,6.0,2.0
7e-06,7.0,2.0
7.01e-06,5.0,1.0
7.02e-06,6.0,2.0
7.0300000000000005e-06,5.0,2.0
7.04e-06,6.0,2.0
