Time/Residue,AFR5_R1.xvg,RoG_md_A4482_R2.xvg
7.83,2.3191,2.3067
7.84,2.3179,2.31148
7.85,2.31581,2.31234
7.86,2.31911,2.30334
7.87,2.31768,2.2911
7.88,2.31202,2.29203
7.89,2.32102,2.30545
7.9,2.31321,2.30272
7.91,2.31926,2.2885
7.92,2.32875,2.30033
7.93,2.32923,2.30191
7.94,2.32221,2.29313
7.95,2.31749,2.29781
7.96,2.31475,2.29075
7.97,2.31342,2.29328
7.98,2.31475,2.2997
7.99,2.31959,2.30104
8.0,2.31656,2.29892
8.01,2.3131,2.30866
8.02,2.3205,2.30127
8.03,2.3265,2.29816
8.04,2.32681,2.30218
8.05,2.31577,2.29912
8.06,2.31456,2.30072
8.07,2.31434,2.30175
8.08,2.32063,2.30002
8.09,2.31839,2.30605
8.1,2.31724,2.30037
8.11,2.31265,2.30465
8.12,2.31649,2.30382
8.13,2.30849,2.29722
8.14,2.30548,2.30495
8.15,2.31041,2.30335
8.16,2.31564,2.30532
8.17,2.30795,2.30382
8.18,2.32359,2.2934
8.19,2.31495,2.30358
8.2,2.31476,2.29699
8.21,2.31091,2.29945
8.22,2.31788,2.29249
8.23,2.31906,2.3032
8.24,2.31108,2.29461
8.25,2.31666,2.30029
8.26,2.31028,2.29666
8.27,2.31476,2.29566
8.28,2.32156,2.29033
8.29,2.31417,2.29844
8.3,2.30736,2.29895
8.31,2.30881,2.30791
8.32,2.30764,2.29189
8.33,2.31044,2.30209
8.34,2.3136,2.29854
8.35,2.31009,2.30688
8.36,2.31005,2.3108
8.37,2.30829,2.30517
8.38,2.311,2.29821
8.39,2.30561,2.31064
8.4,2.31197,2.30527
8.41,2.31247,2.31053
8.42,2.31432,2.30745
8.43,2.30728,2.30309
8.44,2.30816,2.30439
8.45,2.30418,2.30863
8.46,2.30756,2.31665
8.47,2.29953,2.30044
8.48,2.30886,2.30551
8.49,2.30784,2.29449
8.5,2.30299,2.30298
8.51,2.29964,2.30208
8.52,2.29832,2.29773
8.53,2.29606,2.31084
8.54,2.30509,2.29629
8.55,2.30622,2.29387
8.56,2.30586,2.30563
8.57,2.30072,2.31111
8.58,2.29998,2.30254
8.59,2.29808,2.30242
8.6,2.30867,2.30328
8.61,2.30167,2.30769
8.62,2.30216,2.30836
8.63,2.30672,2.30752
8.64,2.31243,2.29588
8.65,2.29489,2.30112
8.66,2.29447,2.29992
8.67,2.3033,2.30271
8.68,2.30218,2.31014
