Time/Residue,VOR_R1.xvg,VOR_R2.xvg,Average
4.1300001,0.2668636,0.143578,0.2052208
4.1400003,0.2611,0.1379875,0.19954375
4.1500001,0.280376,0.1258219,0.20309895
4.1600003,0.2726213,0.1448209,0.2087211
4.1700001,0.2742802,0.1300589,0.20216955
4.1800003,0.2533463,0.1320659,0.1927061
4.1900001,0.2833064,0.1331736,0.20824
4.2000003,0.2637426,0.1289821,0.19636235
4.21,0.266264,0.1222456,0.1942548
4.2200003,0.2693001,0.1221077,0.1957039
4.23,0.2590925,0.1380415,0.198567
4.2400002,0.2698727,0.1284365,0.1991546
4.25,0.2758701,0.117927,0.19689855
4.2600002,0.251828,0.1485132,0.2001706
4.27,0.2384869,0.1399579,0.1892224
4.2800002,0.2894535,0.1330895,0.2112715
4.2900004,0.2830119,0.1358039,0.2094079
4.3000002,0.2678896,0.1419026,0.2048961
4.3100004,0.2698219,0.1411081,0.205465
4.3200002,0.2716869,0.1373694,0.20452815
4.3300004,0.2641666,0.1355606,0.1998636
4.3400002,0.2703855,0.1317728,0.20107915
4.3500004,0.2688982,0.1307298,0.199814
4.3600001,0.2689638,0.1342299,0.20159685
4.3700004,0.2697982,0.1312207,0.20050945
4.3800001,0.2978855,0.1346535,0.2162695
4.3900003,0.2774338,0.1400457,0.20873975
4.4000001,0.2700949,0.1365433,0.2033191
4.4100003,0.2693375,0.1278752,0.19860635
4.4200001,0.2434754,0.127046,0.1852607
4.4300003,0.2835205,0.1392395,0.21138
4.4400001,0.2672797,0.1367627,0.2020212
4.4500003,0.2752647,0.1277582,0.20151145
4.46,0.2697477,0.1409612,0.20535445
4.4700003,0.2968046,0.1298164,0.2133105
4.48,0.2829911,0.13927,0.21113055
4.4900002,0.2800187,0.1320768,0.20604775
4.5,0.2857594,0.127276,0.2065177
4.5100002,0.3002235,0.1383529,0.2192882
4.52,0.2713656,0.1432656,0.2073156
4.5300002,0.2673381,0.1346959,0.201017
4.5400004,0.2789016,0.135075,0.2069883
4.5500002,0.2773198,0.1321819,0.20475085
4.5600004,0.2848706,0.1357892,0.2103299
4.5700002,0.2774458,0.1437091,0.21057745
4.5800004,0.2878056,0.1354153,0.21161045
4.5900002,0.2737102,0.1386546,0.2061824
4.6000004,0.2760975,0.131287,0.20369225
4.6100001,0.271441,0.1314755,0.20145825
4.6200004,0.2788579,0.1312992,0.20507855
4.6300001,0.268296,0.1497639,0.20902995
4.6400003,0.2847393,0.1247494,0.20474435
4.6500001,0.2945606,0.1265996,0.2105801
4.6600003,0.2659112,0.1337706,0.1998409
4.6700001,0.2752944,0.1341849,0.20473965
4.6800003,0.2738187,0.1442392,0.20902895
4.6900001,0.2874741,0.1462227,0.2168484
4.7000003,0.2877614,0.1407223,0.21424185
4.71,0.2749531,0.1428512,0.20890215
4.7200003,0.2758301,0.1508981,0.2133641
4.73,0.2852615,0.1391662,0.21221385
4.7400002,0.281319,0.1425117,0.21191535
4.75,0.2919085,0.1357371,0.2138228
4.7600002,0.2623847,0.1458041,0.2040944
4.7700005,0.2799548,0.1433007,0.21162775
4.7800002,0.2817312,0.1347964,0.2082638
4.7900004,0.2603603,0.1358898,0.19812505
4.8000002,0.2762615,0.1466384,0.21144995
4.8100004,0.2752777,0.1382203,0.206749
4.8200002,0.2798336,0.1364221,0.20812785
4.8300004,0.25615,0.1420692,0.1991096
4.8400002,0.27209,0.1329949,0.20254245
4.8500004,0.2747166,0.1341222,0.2044194
4.8600001,0.2822431,0.1571231,0.2196831
4.8700004,0.279737,0.1485716,0.2141543
4.8800001,0.2594508,0.1389558,0.1992033
4.8900003,0.274465,0.1507264,0.2125957
4.9000001,0.2904291,0.1351507,0.2127899
4.9100003,0.2797142,0.1294248,0.2045695
4.9200001,0.2912349,0.1356383,0.2134366
4.9300003,0.2694201,0.1450573,0.2072387
4.9400001,0.2921831,0.1452909,0.218737
4.9500003,0.2675536,0.1393625,0.20345805
4.96,0.2748677,0.127598,0.20123285
4.9700003,0.2676003,0.1556475,0.2116239
4.98,0.2914168,0.1434072,0.217412
4.9900002,0.272109,0.1463862,0.2092476
5.0,0.2932038,0.1325779,0.21289085
5.0100002,0.2928053,0.1418551,0.2173302
5.0200005,0.2929509,0.1365973,0.2147741
5.0300002,0.2950153,0.1431788,0.21909705
5.0400004,0.2666995,0.1470438,0.20687165
5.0500002,0.2852468,0.1461958,0.2157213
5.0600004,0.2774669,0.1344904,0.20597865
5.0700002,0.2928633,0.1428235,0.2178434
5.0800004,0.2642973,0.1406084,0.20245285
5.0900002,0.2807716,0.1551941,0.21798285
5.1000004,0.2748137,0.1384965,0.2066551
5.1100001,0.2719447,0.1489146,0.21042965
5.1200004,0.2775639,0.153693,0.21562845
5.1300001,0.2726071,0.1518394,0.21222325
5.1400003,0.2627859,0.1380791,0.2004325
5.1500001,0.2786264,0.1335866,0.2061065
5.1600003,0.2816421,0.1458903,0.2137662
5.1700001,0.2788303,0.15097,0.21490015
5.1800003,0.290881,0.1422614,0.2165712
5.1900001,0.2603422,0.1489763,0.20465925
5.2000003,0.2673048,0.128726,0.1980154
5.21,0.2594453,0.1378019,0.1986236
5.2200003,0.262986,0.1518852,0.2074356
5.23,0.2613187,0.1454899,0.2034043
5.2400002,0.2666395,0.1496766,0.20815805
5.2500005,0.276947,0.1617653,0.21935615
5.2600002,0.2877544,0.1534787,0.22061655
5.2700005,0.2869976,0.1541876,0.2205926
5.2800002,0.2649597,0.1515492,0.20825445
5.2900004,0.2593844,0.1720729,0.21572865
5.3000002,0.282254,0.1700574,0.2261557
5.3100004,0.262966,0.1591873,0.21107665
5.3200002,0.250215,0.1603877,0.20530135
5.3300004,0.2807535,0.1568634,0.21880845
5.3400002,0.2619262,0.1595419,0.21073405
5.3500004,0.2373793,0.1464814,0.19193035
5.3600001,0.2658576,0.1489494,0.2074035
5.3700004,0.2633998,0.1704785,0.21693915
5.3800001,0.2762455,0.1451361,0.2106908
5.3900003,0.2790725,0.1485806,0.21382655
5.4000001,0.2739306,0.1539254,0.213928
5.4100003,0.2694913,0.1534031,0.2114472
5.4200001,0.2701469,0.1437753,0.2069611
5.4300003,0.2600636,0.1479268,0.2039952
