FOLDER,LIGAND_ENTRY,TOTAL_SCORE,smiles
file15,A4698_entry_00302_conf_01,-115.328,CC(C)N(C/C=C/C#CC(C)(C)O)Cc1ccc2ccccc2c1
file15,A4458_entry_00062_conf_01,-115.322,O[C@@](CN1CCN(Cc2cccnc2)CC1)(Cn1cncn1)c1ccc(F)cc1F
file4,A1255_entry_00313_conf_01,-115.304,O[C@H](CCc1ccccc1)CO[C@H](Cn1ccnc1)c1ccc(Cl)cc1Cl
file11,A3183_entry_00043_conf_01,-115.17,CN(Cc1ccc(C(F)(F)F)cc1)Cc1cccc2cnccc12
file15,A4474_entry_00078_conf_01,-115.149,O[C@@](CN1CCN(CC2CC2)CC1)(Cn1cncn1)c1ccc(F)cc1F
file16,A4726_entry_00016_conf_01,-115.104,CN(C/C=C/CCCC(=O)O)Cc1cccc2ccccc12
file9,A2523_entry_00011_conf_01,-115.003,CCN(CC)C/C=C/CN(C)Cc1cccc2ccccc12
file1,A53_entry_00053_conf_01,-114.878,Fc1cc(C(F)(F)F)ccc1CO[C@@H](Cn1ccnc1)c1ccccc1
file11,A3172_entry_00032_conf_01,-114.867,CCOc1cccc(CN(C)Cc2cccc3ccccc23)c1
file6,A1832_entry_00262_conf_01,-114.867,CCCC[C@H](Oc1ccc(Cl)cc1Cl)C(=O)[C@H](Cn1ccnc1)N(C)C
file9,A2633_entry_00121_conf_01,-114.816,Cc1ccc(CCO[C@H](Cn2ccnc2)c2ccc(F)cc2F)cc1
file10,A3132_entry_00306_conf_01,-114.807,Fc1ccc(CS[C@@H](Cn2ccnc2)c2ccccc2F)cc1
file11,A3234_entry_00094_conf_01,-114.706,CCCN(Cc1ccc(C(=O)O)cc1)Cc1cccc2ccccc12
file11,A3336_entry_00196_conf_01,-114.68,Cc1ccc(O[C@H](CCc2ccc(Cl)cc2)Cn2ccnc2)cc1
file8,A2512_entry_00314_conf_01,-114.668,CN(C)C/C=C/CN(C)Cc1cccc2ccccc12
file16,A4722_entry_00012_conf_01,-114.642,CCCC#CCCN(C)Cc1cccc2ccccc12
file12,A3584_entry_00130_conf_01,-114.591,C[C@@H](N1CCc2ncccc2C1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
file11,A3153_entry_00013_conf_01,-114.551,CN(Cc1ccc(C(F)(F)F)cc1)Cc1cccc2ccncc12
file18,A5573_entry_00235_conf_01,-114.529,Nc1ncccc1c1cc(Cc2ccc(CN3C(=O)[C@H]4CC[C@@H]3C4)cc2)no1
file1,A134_entry_00134_conf_01,-114.517,OC[C@@H](Cc1ccccc1)[C@@H]1CO[C@@](Cn2ccnc2)(c2ccc(Cl)cc2Cl)O1
file16,A4716_entry_00006_conf_01,-114.515,CC(C)CC#CCN(C)Cc1cccc2ccccc12
file11,A3155_entry_00015_conf_01,-114.5,Cc1ccccc1CN(C)Cc1cccc2ccccc12
file9,A2567_entry_00055_conf_01,-114.483,CCN(C)C/C=C/CN(C)Cc1cccc2ccccc12
file1,A57_entry_00057_conf_01,-114.473,N#CCc1ccc(CO[C@H](Cn2ccnc2)c2ccc(F)cc2F)cc1
file6,A1734_entry_00164_conf_01,-114.441,CCN(CC)CCOC(=O)c1cc(Br)ccc1OCc1ccccc1
file18,A5580_entry_00242_conf_01,-114.403,NC(=O)[C@@H]1CCCN1Cc1ccc(Cc2cc(c3cccnc3N)on2)cc1
file11,A3267_entry_00127_conf_01,-114.384,CC(C)N(Cc1ccc(CO)cc1)Cc1cccc2ccccc12
file11,A3231_entry_00091_conf_01,-114.371,COc1cc2ccccc2cc1CN(C)Cc1ccc(C)cc1
file11,A3330_entry_00190_conf_01,-114.355,N#Cc1ccc(CO[C@H](CCc2ccc(Cl)cc2)Cn2ccnc2)cc1
file16,A4718_entry_00008_conf_01,-114.322,CCCCNC/C=C/CN(C)Cc1cccc2ccccc12
file15,A4517_entry_00121_conf_01,-114.315,Cc1ccc2c(c1)C=NN(C[C@](O)(Cn1cncn1)c1ccc(F)cc1F)C2
file16,A4723_entry_00013_conf_01,-114.31,C[C@H](O)C/C=C/CN(C)Cc1cccc2ccccc12
file11,A3158_entry_00018_conf_01,-114.27,CN(Cc1ccccc1)Cc1ccc(C#N)c2ccccc12
file16,A4719_entry_00009_conf_01,-114.262,CN(C)CCC#CCN(C)Cc1cccc2ccccc12
file9,A2603_entry_00091_conf_01,-114.26,CN(Cc1cccc2ccccc12)C[C@@H]1CCCN1Cc1ccccc1
file11,A3230_entry_00090_conf_01,-114.237,COc1ccc2ccccc2c1CN(C)Cc1ccc(C)cc1
file11,A3232_entry_00092_conf_01,-114.193,CC(=O)c1ccc(CN(C)Cc2cccc3ccccc23)cc1
file11,A3219_entry_00079_conf_01,-114.173,CC(=O)c1cccc(CN(C)Cc2cccc3ccccc23)c1
file11,A3195_entry_00055_conf_01,-114.166,CN(Cc1ccc(CO)cc1)Cc1cccc2ccccc12
file11,A3259_entry_00119_conf_01,-114.125,CN(Cc1ccc(CC#N)cc1)Cc1cccc2ccccc12
file6,A1705_entry_00135_conf_01,-114.105,CCN(CC)CCOC(=O)C1=C(O)c2ccccc2[N+](Cc2ccccc2)C1=O
file18,A5581_entry_00243_conf_01,-114.066,Nc1ncccc1c1cc(Cc2ccc(CN3CCC(C(=O)O)CC3)cc2)no1
file16,A4721_entry_00011_conf_01,-114.051,CN(CC#CCNC(C)(C)C)Cc1cccc2ccccc12
file11,A3207_entry_00067_conf_01,-114.038,CN(Cc1cccc(CN)c1)Cc1cccc2ccccc12
file6,A1635_entry_00065_conf_01,-114.022,CC(C)N(CCCN)CCOC(=O)c1ccc(c2ccccc2)cc1O
file10,A3122_entry_00296_conf_01,-113.903,CCOC[C@@H](Cn1ccnc1)OCc1ccc(Sc2ccccc2)cc1
file5,A1260_entry_00004_conf_01,-113.84,Clc1ccc(OCCCO[C@H](Cn2ccnc2)c2ccccc2)cc1
file15,A4486_entry_00090_conf_01,-113.822,COc1ccc2c(c1)CN(C[C@](O)(Cn1cncn1)c1ccc(F)cc1F)C2
file15,A4482_entry_00086_conf_01,-113.784,CC(C)N(Cc1ncn(C[C@](O)(Cn2cncn2)c2ccc(F)cc2F)n1)C(C)C
file6,A1710_entry_00140_conf_01,-113.77,CCN(CC)CCOC(=O)c1ccccc1Cc1ccccc1
file11,A3188_entry_00048_conf_01,-113.688,CN(Cc1cccc(CO)c1)Cc1cccc2ccccc12
file6,A1638_entry_00068_conf_01,-113.677,CCCN(CCC)CCOC(=O)c1ccc(c2ccccc2)cc1OC
file11,A3205_entry_00065_conf_01,-113.675,COC(=O)c1ccc(CN(C)Cc2ccc(C)c3ccccc23)cc1
file15,A4464_entry_00068_conf_01,-113.664,CCc1cn([C@H]2CCN(C[C@](O)(Cn3cncn3)c3ccc(F)cc3F)CC2)nn1
file9,A2596_entry_00084_conf_01,-113.59,CCN(Cc1ccccc1OC)Cc1cccc2ccccc12
file11,A3295_entry_00155_conf_01,-113.587,Clc1ccc(CC[C@H](Cn2ccnc2)OCc2ccccc2)cc1
file11,A3452_entry_00312_conf_01,-113.56,C[C@@H](N1CCc2sccc2C1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
file11,A3309_entry_00169_conf_01,-113.531,N#Cc1ccc(C(=O)[C@H](CCc2ccc(Cl)cc2)Cn2ccnc2)cc1
file11,A3255_entry_00115_conf_01,-113.483,CCOc1ccccc1CN(C)Cc1cccc2ccccc12
file11,A3270_entry_00130_conf_01,-113.396,CN(Cc1ccc(Cl)cc1)Cc1ccc(CN)c2ccccc12
file15,A4472_entry_00076_conf_01,-113.364,CN(Cc1ccncc1)C[C@@](O)(Cn1cncn1)c1ccc(F)cc1F
file1,A38_entry_00038_conf_01,-113.347,OCCNC[C@H](OCc1ccc(C(F)(F)F)cc1)c1ccc(Cl)cc1Cl
file10,A3095_entry_00269_conf_01,-113.316,Clc1ccc([C@H](CCn2ccnc2)OCCc2ccccc2)cc1
file2,A374_entry_00060_conf_01,-113.311,OCCc1cn(C[C@H](OCc2ccc(Cl)cc2)c2ccc(Cl)cc2)cn1
file18,A5591_entry_00253_conf_01,-113.286,CO[C@@H]1CCCN(Cc2ccc(Cc3cc(c4cccnc4N)on3)cc2)C1
file12,A3477_entry_00023_conf_01,-113.249,C[C@@H](N1CC[C@H](n2ccnc2)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
file18,A5585_entry_00247_conf_01,-113.22,Nc1ncccc1c1cc(Cc2ccc([C@H](O)CC3CCCC3)cc2)no1
file12,A3674_entry_00220_conf_01,-113.194,C[C@@H](N1CC[C@H](c2ccc(C#N)cc2)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
file2,A373_entry_00059_conf_01,-113.193,CC(=O)c1ccc([C@@H](Cn2ccnc2)OCc2ccc(F)cc2)cc1
file11,A3160_entry_00020_conf_01,-113.189,COC(=O)c1cccc(CN(C)Cc2cccc3ccccc23)c1
file18,A5572_entry_00234_conf_01,-113.175,Nc1ncccc1c1cc(Cc2ccc(CN3C(=O)[C@@H]4CC[C@H]3C4)cc2)no1
file13,A4040_entry_00272_conf_01,-113.138,CC1=CC(=O)[N+](C(=C1)C1CCCCC1)OCc1ccc(F)cc1
file11,A3218_entry_00078_conf_01,-113.119,CN(Cc1ccccc1)Cc1cc(C#N)cc2ccccc12
file15,A4586_entry_00190_conf_01,-113.09,Clc1ccc([C@@H](Cn2ccnc2)OCCNCc2ccccc2)c(Cl)c1
file11,A3194_entry_00054_conf_01,-113.007,CN(Cc1ccccc1CO)Cc1cccc2ccccc12
file1,A267_entry_00267_conf_01,-112.999,Cc1ccc([C@H](Cn2ccnc2)OCc2ccc(Cl)cc2F)cc1
file11,A3290_entry_00150_conf_01,-112.967,N#Cc1ccc([C@@H](CCc2ccc(Cl)cc2)Cn2ccnc2)cc1
file16,A4715_entry_00005_conf_01,-112.965,CN(Cc1cccc2ccccc12)C[C@@H]1C[C@H]1C#CC(C)(C)C
file11,A3438_entry_00298_conf_01,-112.947,C[C@@H](N1CCc2ccccc2C1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
file11,A3326_entry_00186_conf_01,-112.922,Clc1ccc(CC[C@@H](Cn2ccnc2)SCc2ccccn2)cc1
file6,A1599_entry_00029_conf_01,-112.892,CCCN(CCC)CCOC(=O)c1cc(c2ccccc2)ccc1OC
file6,A1613_entry_00043_conf_01,-112.879,CCN(CC)CCOC(=O)c1ccc(OCc2ccccc2)cc1
file15,A4510_entry_00114_conf_01,-112.86,CCCN(Cc1ccco1)C[C@@](O)(Cn1cncn1)c1ccc(F)cc1F
file20,A6157_entry_00191_conf_01,-112.83,CCCCCCCCN[C@@H](C)[C@H](O)c1cn(C)c2ccccc12
file2,A335_entry_00021_conf_01,-112.826,Cc1ccc([C@H](Cn2ccnc2)OCc2ccc(Cl)cc2F)cc1
file14,A4277_entry_00195_conf_01,-112.824,COc1ccc(CO[C@H](COC(=O)N)OC[C@H](O)COc2ccc(Cl)cc2)cc1
