Time/Residue,VOR_R1.xvg,VOR_R2.xvg,Average
5.91,2.30466,2.29715,2.300905
5.92,2.30745,2.28896,2.298205
5.93,2.30677,2.2976,2.302185
5.94,2.30276,2.29553,2.299145
5.95,2.30372,2.2977,2.30071
5.96,2.29732,2.29508,2.2962
5.97,2.30752,2.29844,2.30298
5.98,2.30439,2.29093,2.29766
5.99,2.30733,2.28758,2.297455
6,2.30448,2.28815,2.296315
6.01,2.30244,2.29789,2.300165
6.02,2.30739,2.29418,2.300785
6.03,2.30467,2.28741,2.29604
6.04,2.30345,2.29159,2.29752
6.05,2.30571,2.29878,2.302245
6.06,2.31699,2.29169,2.30434
6.07,2.30627,2.29747,2.30187
6.08,2.31684,2.29215,2.304495
6.09,2.30511,2.29428,2.299695
6.1,2.31465,2.29716,2.305905
6.11,2.30774,2.29237,2.300055
6.12,2.30793,2.29282,2.300375
6.13,2.30645,2.29211,2.29928
6.14,2.30177,2.29994,2.300855
6.15,2.31032,2.29782,2.30407
6.16,2.31808,2.2948,2.30644
6.17,2.31538,2.29277,2.304075
6.18,2.30647,2.2918,2.299135
6.19,2.30284,2.295,2.29892
6.2,2.31168,2.30057,2.306125
6.21,2.30584,2.30287,2.304355
6.22,2.30396,2.29423,2.299095
6.23,2.30537,2.2944,2.299885
6.24,2.30196,2.29301,2.297485
6.25,2.30392,2.29656,2.30024
6.26,2.3035,2.29077,2.297135
6.27,2.30358,2.28883,2.296205
6.28,2.30581,2.29355,2.29968
6.29,2.30719,2.28996,2.298575
6.3,2.30163,2.2931,2.297365
6.31,2.30302,2.29177,2.297395
6.32,2.30694,2.30208,2.30451
6.33,2.30171,2.28934,2.295525
6.34,2.30471,2.28956,2.297135
6.35,2.29975,2.29325,2.2965
6.36,2.30037,2.30125,2.30081
6.37,2.29858,2.28923,2.293905
6.38,2.30156,2.29691,2.299235
6.39,2.30144,2.29953,2.300485
6.4,2.30744,2.29272,2.30008
6.41,2.31072,2.30283,2.306775
6.42,2.30097,2.30866,2.304815
6.43,2.30487,2.30641,2.30564
6.44,2.3034,2.30355,2.303475
6.45,2.30025,2.30818,2.304215
6.46,2.30204,2.3011,2.30157
6.47,2.30182,2.30104,2.30143
6.48,2.30149,2.304,2.302745
6.49,2.305,2.30345,2.304225
6.5,2.30593,2.30796,2.306945
6.51,2.30721,2.30909,2.30815
6.52,2.3029,2.31401,2.308455
6.53,2.30175,2.31214,2.306945
6.54,2.29972,2.31099,2.305355
6.55,2.30528,2.30681,2.306045
6.56,2.30109,2.31511,2.3081
6.57,2.29908,2.30195,2.300515
6.58,2.29602,2.2973,2.29666
6.59,2.29434,2.29921,2.296775
6.6,2.29652,2.30465,2.300585
6.61,2.29082,2.29619,2.293505
6.62,2.30285,2.29807,2.30046
6.63,2.29986,2.29861,2.299235
6.64,2.29926,2.29782,2.29854
6.65,2.2954,2.29278,2.29409
6.66,2.29936,2.29304,2.2962
6.67,2.3054,2.29729,2.301345
6.68,2.29737,2.29846,2.297915
6.69,2.29791,2.29574,2.296825
6.7,2.29109,2.28711,2.2891
6.71,2.28793,2.28923,2.28858
6.72,2.29348,2.29117,2.292325
6.73,2.30183,2.28808,2.294955
6.74,2.29711,2.29305,2.29508
6.75,2.29624,2.30036,2.2983
6.76,2.29409,2.29197,2.29303
6.77,2.29932,2.29599,2.297655
6.78,2.30012,2.28623,2.293175
6.79,2.29341,2.29694,2.295175
6.8,2.30065,2.29594,2.298295
6.81,2.30498,2.29908,2.30203
6.82,2.30824,2.28415,2.296195
6.83,2.3063,2.28692,2.29661
6.84,2.30217,2.29437,2.29827
6.85,2.30116,2.30262,2.30189
6.86,2.30311,2.29637,2.29974
6.87,2.31424,2.295,2.30462
6.88,2.31016,2.29225,2.301205
6.89,2.30525,2.28808,2.296665
6.9,2.30487,2.28688,2.295875
6.91,2.30159,2.29817,2.29988
6.92,2.30181,2.2934,2.297605
6.93,2.30353,2.2854,2.294465
6.94,2.30479,2.29484,2.299815
6.95,2.29902,2.2882,2.29361
6.96,2.30483,2.3044,2.304615
6.97,2.30568,2.29999,2.302835
6.98,2.29976,2.29761,2.298685
6.99,2.30843,2.30324,2.305835
7,2.30496,2.30139,2.303175
7.01,2.3092,2.30057,2.304885
7.02,2.30466,2.2918,2.29823
7.03,2.2997,2.29932,2.29951
7.04,2.31138,2.29539,2.303385
7.05,2.30542,2.3074,2.30641
7.06,2.308,2.29824,2.30312
7.07,2.30644,2.29693,2.301685
7.08,2.30562,2.29203,2.298825
7.09,2.30871,2.30424,2.306475
7.1,2.31183,2.30673,2.30928
7.11,2.30184,2.30866,2.30525
7.12,2.30576,2.30469,2.305225
7.13,2.29965,2.30676,2.303205
7.14,2.3027,2.30577,2.304235
7.15,2.29448,2.30168,2.29808
7.16,2.30653,2.30704,2.306785
7.17,2.31036,2.30243,2.306395
7.18,2.3087,2.30527,2.306985
