Time/Residue,AFR2_R1.xvg,AFR2_R2.xvg
4.5900002,0.2068318,0.196692
4.6000004,0.2040768,0.1934502
4.6100001,0.20223,0.1808031
4.6200004,0.2135581,0.1814833
4.6300001,0.2055443,0.1785972
4.6400003,0.2189697,0.1828889
4.6500001,0.2211764,0.1786579
4.6600003,0.2125552,0.1996375
4.6700001,0.2224993,0.1913563
4.6800003,0.2360743,0.1831596
4.6900001,0.2353012,0.2035323
4.7000003,0.2379109,0.2060532
4.71,0.2392729,0.208548
4.7200003,0.2306894,0.1948224
4.73,0.2404277,0.2017272
4.7400002,0.2286734,0.2152606
4.75,0.2264906,0.2039267
4.7600002,0.2337608,0.199572
4.7700005,0.2234097,0.1999069
4.7800002,0.2230702,0.1948848
4.7900004,0.2277883,0.1974777
4.8000002,0.2309864,0.192758
4.8100004,0.2311662,0.1948515
4.8200002,0.2338159,0.1981903
4.8300004,0.2221286,0.197321
4.8400002,0.2267141,0.1876645
4.8500004,0.2285406,0.1824003
4.8600001,0.2295012,0.1866329
4.8700004,0.2231283,0.1939844
4.8800001,0.2401645,0.1994751
4.8900003,0.2179818,0.1898008
4.9000001,0.2314167,0.1850503
4.9100003,0.2262837,0.1770044
4.9200001,0.229964,0.1854632
4.9300003,0.2218378,0.1885318
4.9400001,0.2202295,0.1844763
4.9500003,0.2221861,0.1819772
4.96,0.2240678,0.1812446
4.9700003,0.2208266,0.1723169
4.98,0.2127405,0.1799808
4.9900002,0.211539,0.1777731
5.0,0.2145472,0.1853811
5.0100002,0.2254288,0.1853708
5.0200005,0.2121897,0.1831077
5.0300002,0.2124967,0.1887623
5.0400004,0.2139863,0.1846784
5.0500002,0.2268642,0.1877221
5.0600004,0.2225631,0.1831494
5.0700002,0.2325642,0.1847004
5.0800004,0.225842,0.1773585
5.0900002,0.2150225,0.1794785
5.1000004,0.2266491,0.1836375
5.1100001,0.2355387,0.1803658
5.1200004,0.241619,0.1828014
5.1300001,0.2300692,0.188657
5.1400003,0.2293925,0.1973423
5.1500001,0.2336417,0.1935745
5.1600003,0.2377269,0.1916196
5.1700001,0.2401545,0.2058283
5.1800003,0.2289817,0.2072269
5.1900001,0.2292276,0.2032776
5.2000003,0.2171007,0.2056489
5.21,0.2184732,0.2081226
5.2200003,0.2259604,0.2062353
5.23,0.2112906,0.2007253
5.2400002,0.2187487,0.2031696
5.2500005,0.2105785,0.2118381
5.2600002,0.2011265,0.2095896
5.2700005,0.2096955,0.2090399
5.2800002,0.2002546,0.2114309
5.2900004,0.2177754,0.1983597
5.3000002,0.2081118,0.1839124
5.3100004,0.2273281,0.190386
5.3200002,0.2249492,0.1909943
5.3300004,0.2293442,0.1865092
5.3400002,0.2292751,0.2006051
5.3500004,0.2208488,0.2040278
5.3600001,0.2074616,0.2030483
5.3700004,0.212244,0.2009097
5.3800001,0.2121405,0.2064326
5.3900003,0.2197235,0.2111722
5.4000001,0.2207958,0.2151811
5.4100003,0.2039454,0.2183398
5.4200001,0.2107833,0.2092958
5.4300003,0.2166766,0.1976746
5.4400001,0.2233786,0.1980267
5.4500003,0.215009,0.2038886
5.46,0.2171308,0.2070735
5.4700003,0.2203087,0.2063483
5.4800005,0.2127469,0.1960651
5.4900002,0.2192687,0.196492
5.5000005,0.2279263,0.1992501
5.5100002,0.2238448,0.2054422
5.5200005,0.2303624,0.2200291
5.5300002,0.2197633,0.2124427
5.5400004,0.2265261,0.2146582
5.5500002,0.2251589,0.210666
5.5600004,0.2336598,0.2121453
5.5700002,0.2314384,0.2210114
5.5800004,0.2242362,0.2213547
5.5900002,0.2211636,0.2069643
5.6000004,0.2243842,0.2048901
5.6100001,0.2369176,0.2090662
5.6200004,0.2276509,0.2125477
5.6300001,0.2196522,0.2139099
5.6400003,0.2203405,0.2213859
5.6500001,0.2242645,0.2027551
5.6600003,0.2254504,0.2016709
5.6700001,0.2213949,0.2039594
