GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1536,1589.72,3903.18,4628.72,432.99,238.33,-68.88,-3480.66,-28336.98,1500.5,17956.62,-5053.76,179.99,-1636.47,-4873.77,-6510.24
1541,1523.16,3942.35,4620.04,436.69,257.57,-63.22,-3429.11,-28205.11,1484.69,17834.74,-5110.12,177.9,-1598.21,-4932.22,-6530.42
1546,1617.91,3841.52,4627.89,459.78,246.8,-45.95,-3411.24,-28269.0,1510.23,17890.21,-5113.83,183.48,-1531.86,-4930.35,-6462.21
1551,1607.36,3875.49,4571.48,441.93,247.3,-47.79,-3470.32,-28252.67,1533.64,17949.03,-5167.54,182.1,-1544.55,-4985.44,-6529.99
1556,1606.61,3966.65,4635.9,452.74,221.62,-57.22,-3467.4,-28152.36,1526.15,17855.7,-5190.15,180.57,-1411.6,-5009.58,-6421.19
1561,1603.65,3893.04,4578.23,456.52,254.42,-65.02,-3453.11,-28312.58,1521.07,17963.63,-5130.65,181.5,-1560.15,-4949.15,-6509.3
1566,1574.23,3791.77,4623.45,452.41,242.84,-53.48,-3467.44,-28392.78,1486.19,18030.45,-5082.36,182.65,-1712.38,-4899.71,-6612.09
1571,1612.33,3910.26,4664.18,438.14,245.95,-85.03,-3403.99,-28318.12,1531.08,17950.04,-5155.98,183.66,-1455.15,-4972.32,-6427.47
1576,1584.06,3894.18,4650.19,444.7,249.68,-62.74,-3422.06,-28230.08,1528.49,17929.59,-5172.28,180.11,-1434.0,-4992.17,-6426.17
1581,1601.15,3928.95,4612.86,457.42,248.79,-65.74,-3450.55,-28227.99,1516.94,17912.7,-5169.12,181.54,-1465.47,-4987.57,-6453.05
1586,1537.73,3887.54,4603.26,460.33,243.08,-53.37,-3473.78,-28182.72,1511.97,17902.46,-5234.47,180.62,-1563.5,-5053.85,-6617.35
1591,1651.96,3892.96,4620.73,449.95,233.76,-70.73,-3403.63,-28184.96,1517.18,17890.73,-5235.81,185.32,-1402.04,-5050.5,-6452.54
1596,1599.24,3868.9,4635.92,438.81,236.68,-69.19,-3434.29,-28100.26,1503.95,17946.15,-5332.44,184.03,-1374.1,-5148.41,-6522.51
1601,1546.55,3846.12,4595.57,445.02,248.69,-67.08,-3472.28,-28191.95,1542.59,18004.19,-5236.33,182.05,-1502.59,-5054.28,-6556.87
1606,1600.42,3883.94,4637.14,459.91,241.95,-57.82,-3479.68,-28274.01,1523.31,17969.79,-5159.87,179.84,-1495.05,-4980.03,-6475.08
1611,1555.03,3946.73,4628.72,440.36,252.52,-49.61,-3484.78,-28250.99,1535.46,17934.5,-5174.77,176.92,-1492.05,-4997.85,-6489.9
1616,1570.56,3887.53,4630.54,438.72,240.34,-57.33,-3434.74,-28226.08,1526.02,18025.23,-5282.46,182.18,-1399.21,-5100.27,-6499.49
1621,1609.34,3891.19,4624.29,442.78,223.63,-60.43,-3442.95,-28069.62,1522.19,17890.52,-5308.48,175.99,-1369.07,-5132.5,-6501.56
1626,1616.91,3831.46,4641.69,445.93,233.46,-53.43,-3477.38,-28253.54,1516.04,17992.16,-5148.29,178.56,-1506.69,-4969.73,-6476.42
1631,1599.38,3981.82,4633.93,447.61,238.79,-77.52,-3476.27,-28144.72,1532.09,17785.28,-5201.84,179.61,-1479.6,-5022.23,-6501.84
1636,1606.31,3886.96,4595.88,436.16,241.75,-29.44,-3455.63,-28097.85,1503.01,17996.88,-5351.76,182.02,-1315.96,-5169.74,-6485.7
1641,1582.72,3790.22,4648.84,433.78,240.42,-37.52,-3446.46,-28093.47,1492.68,17872.89,-5255.49,177.37,-1515.91,-5078.12,-6594.02
1646,1566.19,3824.92,4604.64,441.85,232.45,-30.64,-3433.88,-28181.97,1484.34,17887.15,-5215.35,182.53,-1604.96,-5032.83,-6637.79
1651,1593.57,3941.06,4638.46,452.1,235.33,-85.31,-3480.58,-28363.52,1508.2,17933.2,-5063.98,176.26,-1627.49,-4887.72,-6515.21
1656,1619.25,3822.28,4595.36,455.34,225.11,-59.0,-3497.34,-28381.57,1529.61,17940.23,-5042.97,179.97,-1750.72,-4863.0,-6613.72
