GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1091,1596.05,3871.72,4551.08,432.56,232.33,-85.93,-3398.55,-28278.82,1513.11,18002.96,-5272.13,187.23,-1563.49,-5084.9,-6648.39
1096,1631.98,3881.01,4593.66,431.82,244.51,-82.67,-3392.77,-28198.24,1487.81,17933.93,-5308.82,187.86,-1468.98,-5120.96,-6589.94
1101,1605.1,3906.81,4588.0,437.36,238.22,-92.28,-3429.29,-28243.85,1484.95,17938.17,-5280.91,183.38,-1566.81,-5097.53,-6664.34
1106,1559.45,3924.87,4596.23,427.53,245.11,-68.46,-3363.46,-28383.53,1502.61,18037.64,-5250.08,188.02,-1522.02,-5062.06,-6584.07
1111,1605.24,3961.18,4536.61,458.44,243.17,-82.22,-3412.85,-28219.77,1479.33,17881.41,-5260.32,186.02,-1549.47,-5074.3,-6623.77
1116,1604.32,3974.77,4525.87,434.08,238.92,-71.69,-3400.91,-28273.43,1500.04,17936.42,-5256.78,185.74,-1531.6,-5071.04,-6602.63
1121,1613.56,3837.19,4584.19,440.77,237.01,-83.14,-3455.06,-28257.66,1549.23,18039.5,-5330.2,185.02,-1494.43,-5145.18,-6639.61
1126,1632.75,3865.59,4542.75,456.26,238.31,-64.47,-3394.77,-28248.33,1518.02,17995.1,-5314.49,187.15,-1458.79,-5127.34,-6586.13
1131,1615.01,3928.47,4553.01,443.45,241.37,-91.62,-3384.12,-28144.84,1510.17,17953.38,-5393.74,188.38,-1375.72,-5205.36,-6581.08
1136,1611.24,3861.8,4577.94,442.22,250.68,-57.34,-3408.26,-28064.02,1514.13,18004.13,-5479.5,187.09,-1267.49,-5292.42,-6559.9
1141,1622.53,3887.82,4587.26,460.38,241.54,-67.4,-3398.33,-28203.5,1493.1,17963.45,-5315.97,186.98,-1413.14,-5128.99,-6542.14
1146,1615.14,3924.95,4563.59,445.83,236.33,-83.42,-3378.59,-28155.4,1525.17,17872.04,-5307.23,189.33,-1434.36,-5117.9,-6552.26
1151,1610.5,3855.41,4590.46,455.71,250.06,-77.29,-3422.25,-28182.24,1533.75,17970.86,-5330.15,184.11,-1415.01,-5146.03,-6561.05
1156,1613.03,3847.18,4593.86,437.16,233.19,-75.46,-3430.97,-28127.31,1493.18,17961.89,-5348.91,185.56,-1454.26,-5163.35,-6617.61
1161,1669.42,3949.99,4604.71,451.19,243.04,-89.17,-3442.46,-28209.25,1478.62,17911.22,-5277.68,185.02,-1432.69,-5092.66,-6525.36
1166,1572.87,3895.48,4542.02,455.84,237.9,-75.33,-3421.6,-28114.52,1519.93,17939.19,-5339.24,184.76,-1448.24,-5154.48,-6602.72
1171,1566.24,3877.13,4568.95,434.45,235.04,-68.39,-3391.87,-28122.53,1506.16,17867.13,-5329.46,186.89,-1527.68,-5142.57,-6670.25
1176,1634.13,3917.51,4555.96,451.1,231.87,-80.34,-3370.77,-28197.65,1510.8,17863.47,-5277.21,186.86,-1483.9,-5090.35,-6574.25
1181,1655.88,3924.23,4552.07,447.81,242.66,-90.17,-3397.75,-28074.45,1509.97,17870.06,-5367.65,185.5,-1359.71,-5182.15,-6541.86
1186,1619.16,3837.51,4573.98,439.37,234.86,-72.19,-3419.02,-28036.5,1495.94,17862.26,-5371.08,186.64,-1464.61,-5184.44,-6649.06
1191,1555.41,3901.71,4559.82,447.62,226.08,-81.74,-3432.36,-27982.42,1529.81,17865.41,-5472.14,188.71,-1410.66,-5283.43,-6694.09
1196,1603.7,3966.55,4615.73,461.59,237.21,-51.39,-3400.62,-28028.48,1501.26,17816.7,-5379.85,185.64,-1277.75,-5194.2,-6471.96
1201,1659.62,3880.99,4602.85,455.12,234.68,-106.47,-3389.82,-28122.7,1503.95,17886.63,-5344.87,189.48,-1395.15,-5155.39,-6550.54
1206,1607.43,3958.06,4596.08,448.07,250.04,-64.53,-3472.61,-27914.83,1490.97,17834.09,-5484.31,184.88,-1267.23,-5299.43,-6566.66
1211,1611.11,3916.78,4590.67,452.81,248.59,-74.59,-3446.51,-27854.98,1518.6,17836.8,-5525.49,184.65,-1200.74,-5340.84,-6541.57
1216,1619.51,4018.86,4557.72,445.79,225.79,-70.21,-3385.61,-28022.48,1512.6,17876.43,-5453.77,185.08,-1221.59,-5268.69,-6490.28
1221,1600.86,3958.44,4606.6,442.17,246.7,-75.45,-3434.2,-28165.12,1507.61,17890.79,-5299.24,183.06,-1421.6,-5116.18,-6537.78
